id,User_Id,User_Name,Formulario,Nombre_Proveedor,Rut_Proveedor,Empresa,Area,Centro_Costo,Nombre_Solicitante,Nombre_Autoriza,hora_solicitud,fecha_solicitud,Numero_Factura,Numero_Orden_compra,texto_ajuste_informacion_solicitud
61,10,Laura,Solicitud de Cotización,Bright Ideas Inc,456789012-0,DTS,SERVICIOS,BI004,Sofía,Laura,14:30,2024-01-01,,,
104,15,Manuel,Cotización Realizada,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,17:16,2024-01-01,,,
79,5,Teresa,Solicitud de Cotización,Construcciones y Asociados,987654321-0,DTS,SERVICIOS,CC002,María,Teresa,12:34,2024-01-01,,,
77,19,Ana María,Cotización Realizada,Green Eco Group,678901234-0,ETICSA,INTEGRACIÓN,GE007,Antonio,Ana María,15:47,2024-01-01,,,
65,8,José,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,DTS,PROYECTOS,CI003,Ana,Luis,14:06,2024-01-02,,,
87,7,Luis,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,DTS,SERVICIOS,CI003,Ana,Luis,10:22,2024-01-04,,,
96,20,Isabel,Cotización Realizada,Energía Solar Chilena,890123456-0,DTS,SERVICIOS,ES008,Isabel,Elena,8:40,2024-01-04,,,
94,1,Juan,Cotización Realizada,Alimentos del Sur SA,123456789-0,DTS,PROYECTOS,AC001,Juan,Pedro,17:17,2024-01-04,,,
67,8,José,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,ETICSA,SERVICIOS,CI003,Ana,Luis,8:03,2024-01-05,,,
36,10,Pedro,Cotización Realizada,Comidad del sur,123456789-5,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Marcos,17:07,2024-01-05,,,
21,17,Sofía,Cotización Realizada,Bright Ideas Inc,76.404.505-6,ETICSA,SERVICIOS,BI-567890,Thomas,Brian,9:09,2024-01-05,,,
19,15,Luis,Solicitud de Cotización,Servicios Informáticos Ltda,76.303.404-8,ETICSA,SERVICIOS,SIL-123456,Richard,Edward,12:29,2024-01-08,,,
41,7,Luis,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,ETICSA,SERVICIOS,CI003,Ana,Luis,14:29,2024-01-09,,,
13,9,Juan,Cotización Realizada,Alimentos del Sur SA,76.101.202-9,DTS,PROYECTOS,ADS-345678,John,Paul,9:04,2024-01-09,,,
9,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Yo mismo,14:23,2024-01-10,,,
95,15,Manuel,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,15:50,2024-01-10,,,
76,10,Laura,Cotización Realizada,Bright Ideas Inc,456789012-0,DTS,PROYECTOS,BI004,Sofía,Laura,12:15,2024-01-10,,,
20,16,José,Solicitud de Cotización,Servicios Informáticos Ltda,76.303.404-8,DTS,PROYECTOS,SIL-123456,Joseph,Joshua,10:18,2024-01-10,,,
54,15,Manuel,Cotización Realizada,Food Master Ltd,234567890-0,ETICSA,SERVICIOS,FM005,Carlos,Pablo,13:22,2024-01-10,,,
108,13,Carlos,Solicitud de Cotización,Food Master Ltd,234567890-0,ETICSA,SERVICIOS,FM005,Carlos,Pablo,15:40,2024-01-11,,,
35,10,Pedro,Cotización Realizada,Comidad del sur,123456789-5,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Marcos,8:56,2024-01-11,,,
53,7,Luis,Cotización Realizada,Servicios Informáticos Ltda,567890123-0,ETICSA,INTEGRACIÓN,CI003,Ana,Luis,12:52,2024-01-11,,,
66,3,Elena,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,ETICSA,SERVICIOS,AC001,Juan,Pedro,16:25,2024-01-12,,,
82,19,Ana María,Solicitud de Cotización,Green Eco Group,678901234-0,DTS,PROYECTOS,GE007,Antonio,Ana María,9:33,2024-01-12,,,
97,19,Ana María,Solicitud de Cotización,Green Eco Group,678901234-0,ETICSA,SERVICIOS,GE007,Antonio,Ana María,15:07,2024-01-15,,,
55,10,Laura,Solicitud de Cotización,Bright Ideas Inc,456789012-0,DTS,SERVICIOS,BI004,Sofía,Laura,17:28,2024-01-17,,,
88,1,Juan,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,ETICSA,SERVICIOS,AC001,Juan,Pedro,10:15,2024-01-18,,,
23,19,Diego,Solicitud de Cotización,Bright Ideas Inc,76.404.505-6,DTS,SERVICIOS,BI-567890,Patricia,Mary,16:08,2024-01-18,333549.0,123876.0,
32,28,Isabel,Cotización Realizada,Energía Solar Chilena,76.808.909-2,ETICSA,SERVICIOS,ESC-901234,Lisa,Melissa,13:42,2024-01-23,,,
5,3,jgabriel,Cotización Realizada,La Popular,123456789-k,ETICSA,SERVICIOS,1554,Maria,Gabriel,8:39,2024-01-24,,,
60,14,Pablo,Solicitud de Cotización,Food Master Ltd,234567890-0,DTS,PROYECTOS,FM005,Carlos,Pablo,16:09,2024-01-25,,,
14,10,Pedro,Solicitud de Cotización,Alimentos del Sur SA,76.101.202-9,DTS,SERVICIOS,ADS-345678,James,Mark,11:17,2024-01-25,,,
103,12,Carmen,Solicitud de Cotización,Bright Ideas Inc,456789012-0,ETICSA,INTEGRACIÓN,BI004,Sofía,Laura,9:56,2024-01-29,,,
12,1,jcampillay,Cotización Realizada,jaime,169264252-2,ETICSA,INTEGRACIÓN,costos-centro-code,Maria,Gabriel,11:38,2024-01-29,,,
18,14,Ana,Cotización Realizada,Servicios Informáticos Ltda,76.303.404-8,ETICSA,INTEGRACIÓN,SIL-123456,David,Andrew,9:28,2024-01-29,,,Falta información
15,11,Elena,Solicitud de Cotización,Alimentos del Sur SA,76.101.202-9,ETICSA,INTEGRACIÓN,ADS-345678,Robert,George,10:54,2024-01-29,,,
85,20,Isabel,Solicitud de Cotización,Energía Solar Chilena,890123456-0,ETICSA,INTEGRACIÓN,ES008,Isabel,Elena,9:50,2024-01-29,,,
59,11,Diego,Cotización Realizada,Bright Ideas Inc,456789012-0,ETICSA,SERVICIOS,BI004,Sofía,Laura,16:32,2024-01-30,,,
56,9,Sofía,Cotización Realizada,Bright Ideas Inc,456789012-0,ETICSA,SERVICIOS,BI004,Sofía,Laura,12:47,2024-01-31,,,
38,10,Pedro,Cotización Realizada,Comidad del sur,123456789-5,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Marcos,18:42,2024-02-01,,,
62,4,María,Cotización Realizada,Construcciones y Asociados,987654321-0,DTS,PROYECTOS,CC002,María,Teresa,14:33,2024-02-01,,,
102,3,Elena,Cotización Realizada,Alimentos del Sur SA,123456789-0,ETICSA,SERVICIOS,AC001,Juan,Pedro,11:25,2024-02-02,,,
25,21,Carlos,Solicitud de Cotización,Food Master Ltd,76.606.707-4,ETICSA,SERVICIOS,FML-901234,Linda,Michelle,8:52,2024-02-02,,,
74,2,Pedro,Solicitud de Cotización,Alimentos del Sur SA,123456789-0,DTS,SERVICIOS,AC001,Juan,Pedro,14:46,2024-02-05,,,
40,10,Pedro,Solicitud de Cotización,Comida Andina,456789456-5,ETICSA,INTEGRACIÓN,98-5522,Julio,Sabrina,18:56,2024-02-06,,,
34,10,Pedro,Cotización Realizada,Comidad del sur,123456789-5,ETICSA,SERVICIOS,costos-centro-code,Gabriel,Marcos,8:44,2024-02-06,,,
100,6,Ana,Solicitud de Cotización,Servicios Informáticos Ltda,567890123-0,DTS,PROYECTOS,CI003,Ana,Luis,10:02,2024-02-06,,,
106,5,Teresa,Cotización Realizada,Construcciones y Asociados,987654321-0,DTS,SERVICIOS,CC002,María,Teresa,9:32,2024-02-07,,,
89,15,Manuel,Cotización Realizada,Food Master Ltd,234567890-0,DTS,SERVICIOS,FM005,Carlos,Pablo,9:33,2024-02-08,,,
42,15,Manuel,Solicitud de Cotización,Food Master Ltd,234567890-0,ETICSA,INTEGRACIÓN,FM005,Carlos,Pablo,10:12,2024-02-09,,,
